geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
51,12,-78.66634949,37.5108731,-82.46641839,28.47705841,03/09/20 - 03/15/20,37182,632037,1
51,13,-78.66634949,37.5108731,-83.42714021,32.63861711,03/09/20 - 03/15/20,10917,185572,1
51,15,-78.66634949,37.5108731,-158.1099738,20.9951112,03/09/20 - 03/15/20,1772,30121,1
51,16,-78.66634949,37.5108731,-114.659414,44.38905509,03/09/20 - 03/15/20,207,3518,1
51,17,-78.66634949,37.5108731,-89.14863899,40.12420083,03/09/20 - 03/15/20,2840,48275,1
51,18,-78.66634949,37.5108731,-86.28183839,39.91986962,03/09/20 - 03/15/20,1574,26755,1
51,19,-78.66634949,37.5108731,-93.50009012,42.07464833,03/09/20 - 03/15/20,326,5541,1
51,20,-78.66634949,37.5108731,-98.3801554,38.48472707,03/09/20 - 03/15/20,391,6646,1
51,21,-78.66634949,37.5108731,-85.29055223,37.52661417,03/09/20 - 03/15/20,3337,56723,1
51,22,-78.66634949,37.5108731,-91.81423318,30.9090729,03/09/20 - 03/15/20,2528,42972,1
51,23,-78.66634949,37.5108731,-69.20275986,45.27432853,03/09/20 - 03/15/20,332,5643,1
51,24,-78.66634949,37.5108731,-76.68717734,38.94649396,03/09/20 - 03/15/20,41996,713868,1
51,25,-78.66634949,37.5108731,-71.50397204,42.16009327,03/09/20 - 03/15/20,2001,34013,1
51,26,-78.66634949,37.5108731,-85.73095291,44.8747736,03/09/20 - 03/15/20,1764,29985,1
51,27,-78.66634949,37.5108731,-94.1983056,46.34911038,03/09/20 - 03/15/20,806,13700,1
51,28,-78.66634949,37.5108731,-89.65335941,32.71289227,03/09/20 - 03/15/20,791,13445,1
51,29,-78.66634949,37.5108731,-92.4774252,38.36763044,03/09/20 - 03/15/20,1443,24528,1
51,30,-78.66634949,37.5108731,-109.645207,47.03342111,03/09/20 - 03/15/20,177,3008,1
51,31,-78.66634949,37.5108731,-99.81085586,41.52715113,03/09/20 - 03/15/20,253,4300,1
51,32,-78.66634949,37.5108731,-116.6552487,39.35618587,03/09/20 - 03/15/20,3571,60701,1
51,33,-78.66634949,37.5108731,-71.57124317,43.68023706,03/09/20 - 03/15/20,367,6238,1
51,34,-78.66634949,37.5108731,-74.65561231,40.11017985,03/09/20 - 03/15/20,5566,94613,1
51,35,-78.66634949,37.5108731,-106.1084439,34.42130099,03/09/20 - 03/15/20,584,9927,1
51,36,-78.66634949,37.5108731,-75.59654322,42.92123355,03/09/20 - 03/15/20,8666,147308,1
51,37,-78.66634949,37.5108731,-79.13090892,35.52603039,03/09/20 - 03/15/20,44799,761514,1
